Response,Score
" I am not proud of this but unfortunately, I am somewhat of an ostrich (always sticking my head in the sand) when it comes to my finances. I am easily overwhelmed and become avoidant of any interaction I need to have with my bank. I put off a lot my financial responsibilities until the last moment and then am even more stressed about having to deal with issues in a time crunch. I have strong negative associations with most financial institutions and typically want to hide from them...I can become very avoidant of my finances and feel anxiety around money in general. 
 
 """"Careful"""" __¡° I am not a risky spender; I try to keep my overheads very low and within reason. As I am a freelancer, my income isn__t always consistent or stable, so I need to compensate for slower work periods by keeping my spending in check and always saving. I have invested in a mutual fund and some stable stocks, but I don__t play around with my investments because I feel like I don__t know how to manage it on my own very well. I try cover my bases and make sure I always have a solid safety net. 
 
 """"A work in progress"""" __¡° I feel like I am still very much in the process of figuring out my finances. I live abroad from my native country, so I am dealing with multiple currencies and tax issues, I have my own business as well so that creates a lot of instability and difficulties. I am trying to take steps towards my future by doing things like having a Roth IRA account and paying social charges toward my retirement, but I am not certain that I know the best ways to be financially independent in the future. I am open minded about new investment options but also haven__t gotten swept up in the waves of things like crypto, I still feel like I am soaking up information and trying to figure out my next moves.""",4
"""Focused, Skeptical, Balanced.
 
 Focused because I want to be able to really research the information, especially if it__s something new to me before I jump in. 
 
 Skeptical because I want to not get overly excited about something that I may not know much about to avoid getting scammed or just making uninformed decisions.
 
 Balanced because I like to calculate my risk and that comes from me learning a lot about the risk before I decide to get involved.""",2
"""1.-trust: I once read that believing in an economic system is a mental disease. I don't remember quite the explanation but it made me think of how fragile is to set the entire world functioning on the believe of money. Because that is what it is, just a group of organized people that choose to believe on the value of money to help keep a society organized. Subsequently, people born in the system grew up believing that money has an intrinsic value. That is why I choose the word trust, not because I trust in money and finances, but because trust in money is the web that keeps society organization together. And ironically when you realize this, money becomes not as reliable as someone would thought.
 
 2.-opposition: I had a really good childhood as far as I remember, but as I grew older I realized more and more the efforts of my parents to candy coat the reality for me. Going one day later on vacations to find money for gas or things like that. I choose the word opposition cause money and finances as much as the put order into society, they also consume people, it turns the main reason to live. My dad used to told me that working is so terrible that you have to be payed to do it. He used to tell me this as a joke when I complained of my first job. But I never agreed with that, if it is so terrible why do I have to do it? I was 16 years old, and even it was just a summer job I felt miserable thinking of all the years ahead. The word opposition fits perfectly, cause I grew up with a constant anger towards money, as if it was an entity that I was rebelling from, punishing it with my opposition. I now realize how absurd is that.
 
 3.-abundance: Now that I grew up, my relationship with money also has evolved, but this is all thanks to crypto. Knowing the stories of people that changed its life from one day to another made me realize I could be one of them. Before I could never dream of becoming financially free, that was something reserved for people born into it or sold into a slaving system of hard working translated into stress and company devotion. 
 Now I see money just as the opportunity to have options and financial freedom as something that can be achieved not necessarily by luck or inheritance. My relationship to money changed completely and now I'm looking for abundance not only for myself, but become the instrument myself to spread abundance around me.""",4
"Resourceful, Enabling, Transcendent",1.5
"""Work, Weaknesses and Windfalls.
 
 Money comes to me through my strengths, and leaves me through my weaknesses, but the big financial outgoings and incomings seemed dominated by slings and arrows of outrageous Fortune.""",2
"FREEDOM- I always thought money equalled freedom. That was until I secured a fantastic job in IT. It was dream job with high pay but I lost my freedom. I had money but I did not have time to enjoy it. I reflected back at teenage me and realised I had time but no money- that was not freedom either as I had no money to travel and do things that enabled me to enjoy my free time! I now look at other friends who have a lot of material wealth but are chained to jobs they hate- in order to pay off this material wealth- this is not freedom. I realised money is either freedom or handcuffs! I have since quit paid employment and made money freedom for me. GLOBAL - money is global, it needs to be used worldwide in order to maximise the freedom it delivers. It means I can purchase items I want from China, US, anywhere in the world. It also means I can use geo arbitrage to maximise it's value. I can pay for my items in any currency I choose- making an items cheaper or more expensive. I have virtual assistants in Philipines at a 1/4 of the price of my previous UK assistants. I buy flyers from Australia at half the price of European printing. I use money globally to maximise it's purchasing power and I make money on these transactions. MUST BE SPENT- money depreciates, inflation decreases it's purchasing power. Money must be spent in order maintain or increase it's value. Money sitting in bank account after 20 years is worthless, invest that in a house and you could be on a gold mine. Money must be spent to ensure it beats inflation and does not become worthless.",2
"I describe DeFi in contrast to normal finance or centralized finance where the banks are at the center of everything and they are in charge of everything __¡° thus every single financial interaction with them is designed to serve the bank or institution in some way, i.e. they make money off of your money. They also design things to be very complicated and annoying so that you end up owing them more money from dumb reasons like ___maintenance fees.__ Centralized finance is like you are a part of some big money-making machine and act as one of many contributors to the success of the financial institution. 
 
 In DeFi, the individual has the power and is at the center of everything. This cuts out the banks and institutions from benefitting from the chain actions of the individual__s purchase. They stop making money off individuals spending money because the money is handled by you (or the individual) and goes directly to the vendor or investment you are contributing to. DeFi is an open system that is still unregulated and in development but has some very appealing aspects to it as it could change how we go about lending and spending and lets people be more autonomous. But it also could maybe more easily be hacked or riddled with scams, so it is still something to be a bit wary of.",3
"I would actually provide the warning first. Reason being because I talk with people often about the DeFi world and the approach coming from them is usually aggressive and they leave out the negatives. I would warn them about the perils of not doing your due diligence and fully understanding DeFi as a concept and then how it applies to what they are interested in. Next I would describe defi as the early stages of the next financial revolution that removes the control of traditional banks and/or institutions and it uses technology similar to that of cryptocurrency. The promise of DeFi is the elimination of fees, stronger security by using crypto type wallets and fast transfer times.",2
"I've explained DeFi to my loved ones so many times, and the most basic and easy way is to realize that DeFi is a financial world run by you for you without intermediary. People to people, pier to pier, P2P. I always tell them. In Mexico is very common for small stores to not accept credit or debit cards because of the fees generated by the bank, they don't want to pay those fees and buyers don't want to absorb that fee either. I always tell my family for them to imagine a way to transfer that payment directly to the owner's store, rather than having the bank doing that for you and getting some money for themselves in the way.
 Picture the network that is created when many bank users make transactions, all of those lines go through the bank first, making it like a bottleneck inefficient system. Now, picture this same network with people having the ability of making this transactions directly to other users, the network image that is created is more clean and organized, it connects you more and gives you more freedom on your decisions. DeFi is this, decentralized finance, you making your own decisions not only on transactions, but also on compound, interests, trades and all of the regular services that usually someone does for you and you don't even realize.
 DeFi promises the ability to be really responsible of your own finances, gives you the opportunity to make your own choices, strategize and experiment with your own resources. And also and for me the most important that is the opportunity to access to wealth with the same chances and opportunities than everybody else. For me this is the lifechanging trigger that I would love to express deeper with all of the words in Spanish that comes to my mind.
 It may sound crazy but that is the greatness on DeFi, the opportunity to materialize wealth from nothing, same opportunities without mattering where are you from, your background, education or family.
 With all this new freedom and opportunities also comes it's own dangers, there is no light without darkness, and being this a new space, scams and rugs are everywhere, but not only that. Human errors comes along with using DeFi and that is what I warn everybody that is new into DeFi. In regular finance, if you make a mistake you can call to your bank and have it solved. In DeFi this is not the case, you miss one single character and your transfer disappears forever. You mess on a decimal point and same. DeFi is very liberating but with that freedom comes responsibility.
 Always do your own research, and if it's possible, never use any platform or escrow or anybody that tells you they will trade for you. Learn and do research, it's a wild space but also very rewarding, I prefer to loose my money because of the mistakes I make while I am learning rather than loosing my money to a scammer. It might be frightening, but it is only frightening because we can't believe that all of that abundance is there to be taken by us.
 Never trust anyone but yourself and take the time to make educated decisions.",4
"I think I would ask people to think about how technology always feels rooted in our past metaphors. Before the Internet; Books would not suffice as an adequate metaphor for what 'shared knowledge' would look like in 2022. 
 
 Likewise, DeFi, if you consider the constituent technology - BlockChain, is not really just about 'Decentralisation' as a means to enable cryptographic ledgers to be proven to exchange tokens of value - or in other words, governing an exchange of value without the need for an individual (rather a collective) to approve it. 
 
 Rather, the exciting part of what DeFi is and represents is a shake up to current power dynamics. This is why it is also considered somewhat dangerous or unorthodox.
 
 Now, before we get all Sci-Fi or Comic Book-esque, I do not think this is about DeFi being 'for the common people' and a way to 'stick it to The Man'...the issue being that most people who are engaged with DeFi are usually educated, monied, and have networks to support them in this 'gamble' on a new future. 
 
 It is not shock that after some nay saying and threats, many of the financial world have some stake in DeFi, as part of a spread bet on the future. The 'common people' - even if they have a little flutter on some BitCoin are not really engaged with the DNA of what DeFi is and will become. They are simply buying into a pyramid scheme, and are not really controlling the larger narrative on what a world with DeFi is and will feel like. 
 
 I say this not to sound cynical, but more to say I think things will come full circle - the powerful will likely stay powerful. This is not the French Revolution. 
 
 So what is the positive part? Well, I think like the Internet, the powerful will still reap large rewards from the new technology as they invest and shape it to what serves them best, however, there will be 'crumbs from the table', which will make everyday people's lives much better. Just as most people are not Silicon Valley Bros, most people have better healthcare, more connection, better access...etc. than ever before. Even the 'poorest' person in say the USA is rich by standards 500 years ago.
 
 So the question is not just one of money. A new form of international 'Value Exchange' is not going to bring us global harmony. Rather it will simply bring the world closer together as a collective - only now our data will be intertwined with our value. We will not just own a car or a house, those purchases will be 'encoded' with a historic 'DNA' or what lead us to make that decision and that purchase. 
 
 DeFi would be more correctly called DeDaFi, [Da = Data], as this is as much a part of the new power. Just as Knowledge is Power, so too Data must also equal Knowledge - and so Power again. 
 
 I do not watch DeFi in terms of 'money', I watch it in terms of 'markers' on our behavioural psychology. 
 
 Every breath you make, every click or step you take, DeDaFi will be watching you. 
 
 Does this become Black Mirror? No. For the same reason Books did not destroy is, nor the Internet. I hope that we eventually transcend the circle of 'money' and get to 'value' - and from that to something greater than transactions. We need to strive for togetherness, and I think DeFi is a part that is moving closer to that, for all its casualties to come. 
 
 I remain optimistic that we will look beyond our singular selves.",4
